soft_domain,technical_skill,cooccurrence_count,percentage_of_postings
Creativity And Inovation,revit,1569,1.06
Time Management And Organizational Skills,typescript,1566,1.06
Communication Skills,agile development,1558,1.05
Adaptability & Continuous Learning,travel,1556,1.05
Time Management And Organizational Skills,solidworks,1554,1.05
Creativity And Inovation,reporting,1552,1.05
Adaptability & Continuous Learning,training,1543,1.04
Time Management And Organizational Skills,specifications,1542,1.04
Time Management And Organizational Skills,data science,1523,1.03
Creativity And Inovation,scrum,1523,1.03
Time Management And Organizational Skills,jenkins,1519,1.03
Time Management And Organizational Skills,nosql,1515,1.02
Adaptability & Continuous Learning,networking,1510,1.02
Time Management And Organizational Skills,matlab,1509,1.02
Creativity And Inovation,training,1506,1.02
Problem-Solving And Critical Thinking,microservices,1506,1.02
Work Ethic And Professionalism,nosql,1500,1.01
Time Management And Organizational Skills,react,1500,1.01
Creativity And Inovation,networking,1495,1.01
Creativity And Inovation,cad,1493,1.01
Creativity And Inovation,unit testing,1483,1.0
Time Management And Organizational Skills,microservices,1483,1.0
Time Management And Organizational Skills,maintenance,1476,1.0
Adaptability & Continuous Learning,ci/cd,1476,1.0
Time Management And Organizational Skills,structural engineering,1470,0.99
Creativity And Inovation,html,1463,0.99
Creativity And Inovation,agile development,1460,0.99
Emotional Intelligence (Eq),python,1446,0.98
Creativity And Inovation,data science,1427,0.96
Creativity And Inovation,matlab,1427,0.96
Adaptability & Continuous Learning,master's degree,1426,0.96
Communication Skills,programming,1426,0.96
Problem-Solving And Critical Thinking,terraform,1424,0.96
Creativity And Inovation,data analytics,1423,0.96
Adaptability & Continuous Learning,budgeting,1412,0.95
Creativity And Inovation,team leadership,1399,0.94
Emotional Intelligence (Eq),time management,1397,0.94
Creativity And Inovation,travel,1396,0.94
Communication Skills,product development,1392,0.94
Communication Skills,react,1389,0.94
Adaptability & Continuous Learning,security,1384,0.93
Time Management And Organizational Skills,product development,1377,0.93
Creativity And Inovation,css,1376,0.93
Adaptability & Continuous Learning,data analytics,1366,0.92
Creativity And Inovation,tableau,1366,0.92
Adaptability & Continuous Learning,data management,1349,0.91
Communication Skills,data science,1346,0.91
Creativity And Inovation,solidworks,1321,0.89
Creativity And Inovation,product development,1319,0.89
Time Management And Organizational Skills,programming,1314,0.89
Creativity And Inovation,data management,1313,0.89
Creativity And Inovation,security,1310,0.88
Adaptability & Continuous Learning,scheduling,1310,0.88
Adaptability & Continuous Learning,tableau,1309,0.88
Adaptability & Continuous Learning,windows,1297,0.88
Creativity And Inovation,continuous improvement,1294,0.87
Adaptability & Continuous Learning,root cause analysis,1293,0.87
Creativity And Inovation,microservices,1284,0.87
Adaptability & Continuous Learning,revit,1283,0.87
Communication Skills,jenkins,1281,0.87
Emotional Intelligence (Eq),sql,1276,0.86
Communication Skills,maintenance,1276,0.86
Creativity And Inovation,terraform,1272,0.86
Creativity And Inovation,root cause analysis,1263,0.85
Time Management And Organizational Skills,terraform,1263,0.85
Creativity And Inovation,windows,1255,0.85
Adaptability & Continuous Learning,team leadership,1245,0.84
Time Management And Organizational Skills,ci/cd,1235,0.83
Creativity And Inovation,safety,1233,0.83
Creativity And Inovation,typescript,1228,0.83
Creativity And Inovation,business analysis,1226,0.83
Communication Skills,ansible,1224,0.83
Problem-Solving And Critical Thinking,typescript,1217,0.82
Adaptability & Continuous Learning,research,1216,0.82
Creativity And Inovation,statistics,1215,0.82
Adaptability & Continuous Learning,terraform,1210,0.82
Creativity And Inovation,structural engineering,1209,0.82
Problem-Solving And Critical Thinking,nosql,1205,0.81
Time Management And Organizational Skills,active directory,1202,0.81
Adaptability & Continuous Learning,manufacturing,1192,0.81
Creativity And Inovation,programming,1190,0.8
Creativity And Inovation,jenkins,1189,0.8
Creativity And Inovation,statistical analysis,1189,0.8
Creativity And Inovation,chemical engineering,1167,0.79
Creativity And Inovation,process improvement,1166,0.79
Creativity And Inovation,ci/cd,1162,0.78
Communication Skills,microservices,1146,0.77
Communication Skills,ci/cd,1122,0.76
Adaptability & Continuous Learning,data science,1117,0.75
Adaptability & Continuous Learning,process improvement,1105,0.75
Creativity And Inovation,scheduling,1097,0.74
Communication Skills,active directory,1091,0.74
Adaptability & Continuous Learning,power bi,1085,0.73
Creativity And Inovation,powerpoint,1082,0.73
Adaptability & Continuous Learning,matlab,1082,0.73
Adaptability & Continuous Learning,continuous improvement,1077,0.73
Adaptability & Continuous Learning,cad,1075,0.73
Time Management And Organizational Skills,ansible,1073,0.72
Adaptability & Continuous Learning,safety,1072,0.72
Communication Skills,powershell,1070,0.72
Communication Skills,terraform,1067,0.72
Emotional Intelligence (Eq),organizational skills,1064,0.72
Adaptability & Continuous Learning,structural engineering,1063,0.72
Adaptability & Continuous Learning,ansible,1062,0.72
Creativity And Inovation,nosql,1056,0.71
Time Management And Organizational Skills,powershell,1053,0.71
Emotional Intelligence (Eq),electrical engineering,1037,0.7
Creativity And Inovation,power bi,1023,0.69
Emotional Intelligence (Eq),microsoft office suite,1017,0.69
Adaptability & Continuous Learning,powerpoint,1005,0.68
Emotional Intelligence (Eq),engineering,992,0.67
Emotional Intelligence (Eq),bachelor's degree,990,0.67
Emotional Intelligence (Eq),autocad,987,0.67
Creativity And Inovation,go,983,0.66
Creativity And Inovation,specifications,981,0.66
Creativity And Inovation,microsoft excel,959,0.65
Emotional Intelligence (Eq),mechanical engineering,950,0.64
Adaptability & Continuous Learning,microsoft excel,948,0.64
Adaptability & Continuous Learning,statistical analysis,948,0.64
Problem-Solving And Critical Thinking,go,941,0.64
Emotional Intelligence (Eq),problemsolving skills,938,0.63
Emotional Intelligence (Eq),microsoft office,920,0.62
Communication Skills,typescript,918,0.62
Emotional Intelligence (Eq),multitasking,870,0.59
Creativity And Inovation,active directory,861,0.58
Creativity And Inovation,ansible,859,0.58
Communication Skills,nosql,855,0.58
Emotional Intelligence (Eq),excel,834,0.56
Adaptability & Continuous Learning,statistics,828,0.56
Creativity And Inovation,maintenance,815,0.55
Adaptability & Continuous Learning,programming,809,0.55
Adaptability & Continuous Learning,maintenance,806,0.54
Emotional Intelligence (Eq),customer service,803,0.54
Adaptability & Continuous Learning,specifications,797,0.54
Adaptability & Continuous Learning,solidworks,793,0.54
Adaptability & Continuous Learning,chemical engineering,789,0.53
Emotional Intelligence (Eq),presentation skills,778,0.53
Adaptability & Continuous Learning,product development,769,0.52
Adaptability & Continuous Learning,powershell,750,0.51
Emotional Intelligence (Eq),computer science,729,0.49
Communication Skills,go,718,0.48
Creativity And Inovation,powershell,699,0.47
Emotional Intelligence (Eq),documentation,679,0.46
Adaptability & Continuous Learning,active directory,678,0.46
Emotional Intelligence (Eq),technical writing,672,0.45
Emotional Intelligence (Eq),java,660,0.45
Emotional Intelligence (Eq),risk management,634,0.43
Emotional Intelligence (Eq),machine learning,632,0.43
Emotional Intelligence (Eq),aws,630,0.43
Emotional Intelligence (Eq),civil engineering,606,0.41
Emotional Intelligence (Eq),software development,565,0.38
Emotional Intelligence (Eq),reporting,552,0.37
Emotional Intelligence (Eq),travel,546,0.37
Emotional Intelligence (Eq),javascript,544,0.37
Emotional Intelligence (Eq),business analysis,537,0.36
Emotional Intelligence (Eq),budgeting,527,0.36
Emotional Intelligence (Eq),design,520,0.35
Emotional Intelligence (Eq),linux,486,0.33
Emotional Intelligence (Eq),training,482,0.33
Emotional Intelligence (Eq),jira,481,0.32
Emotional Intelligence (Eq),automation,453,0.31
Emotional Intelligence (Eq),testing,452,0.31
Emotional Intelligence (Eq),azure,452,0.31
Emotional Intelligence (Eq),data visualization,452,0.31
Emotional Intelligence (Eq),continuous improvement,434,0.29
Emotional Intelligence (Eq),microsoft excel,420,0.28
Emotional Intelligence (Eq),software engineering,417,0.28
Emotional Intelligence (Eq),research,416,0.28
Emotional Intelligence (Eq),c++,415,0.28
Emotional Intelligence (Eq),git,409,0.28
Emotional Intelligence (Eq),devops,401,0.27
Emotional Intelligence (Eq),root cause analysis,400,0.27
Emotional Intelligence (Eq),manufacturing,396,0.27
Emotional Intelligence (Eq),networking,396,0.27
Emotional Intelligence (Eq),powerpoint,389,0.26
Emotional Intelligence (Eq),data management,379,0.26
Emotional Intelligence (Eq),tableau,369,0.25
Emotional Intelligence (Eq),process improvement,367,0.25
Emotional Intelligence (Eq),data analytics,363,0.25
Emotional Intelligence (Eq),kubernetes,362,0.24
Emotional Intelligence (Eq),scheduling,361,0.24
Emotional Intelligence (Eq),team leadership,352,0.24
Emotional Intelligence (Eq),safety,351,0.24
Emotional Intelligence (Eq),scrum,346,0.23
Emotional Intelligence (Eq),cloud computing,345,0.23
Emotional Intelligence (Eq),systems engineering,329,0.22
Emotional Intelligence (Eq),statistical analysis,319,0.22
Emotional Intelligence (Eq),docker,313,0.21
Emotional Intelligence (Eq),windows,306,0.21
Emotional Intelligence (Eq),chemical engineering,305,0.21
Emotional Intelligence (Eq),html,302,0.2
Emotional Intelligence (Eq),agile development,298,0.2
Emotional Intelligence (Eq),c#,279,0.19
Emotional Intelligence (Eq),statistics,278,0.19
Emotional Intelligence (Eq),security,276,0.19
Emotional Intelligence (Eq),master's degree,273,0.18
Emotional Intelligence (Eq),css,272,0.18
Emotional Intelligence (Eq),revit,272,0.18
Emotional Intelligence (Eq),power bi,257,0.17
Emotional Intelligence (Eq),product development,250,0.17
Emotional Intelligence (Eq),cad,250,0.17
Emotional Intelligence (Eq),active directory,240,0.16
Emotional Intelligence (Eq),solidworks,237,0.16
Emotional Intelligence (Eq),maintenance,227,0.15
Emotional Intelligence (Eq),matlab,225,0.15
Emotional Intelligence (Eq),data science,224,0.15
Emotional Intelligence (Eq),react,220,0.15
Emotional Intelligence (Eq),structural engineering,219,0.15
Emotional Intelligence (Eq),programming,215,0.15
Emotional Intelligence (Eq),ci/cd,200,0.14
Emotional Intelligence (Eq),microservices,198,0.13
Emotional Intelligence (Eq),jenkins,195,0.13
Emotional Intelligence (Eq),unit testing,182,0.12
Emotional Intelligence (Eq),go,170,0.11
Emotional Intelligence (Eq),specifications,169,0.11
Emotional Intelligence (Eq),typescript,164,0.11
Emotional Intelligence (Eq),nosql,161,0.11
Emotional Intelligence (Eq),terraform,160,0.11
Emotional Intelligence (Eq),ansible,150,0.1
Emotional Intelligence (Eq),powershell,131,0.09
